iteration,runtime,r2_score,mape_score,mae_score,max_depth,min_samples_split,min_samples_leaf,n_estimators,hyperparameters
82,70.25194986199858,0.5791724725883969,5.8745177584688575,0.28977780338357567,67,6,7,922,"{'bootstrap': True, 'max_depth': 67, 'max_features': 'auto', 'min_samples_split': 6, 'min_samples_leaf': 7, 'n_estimators': 922}"
83,24.155400485997234,0.4087612502955265,7.656370824971025,0.37970707426790484,7,9,2,1000,"{'bootstrap': False, 'max_depth': 7, 'max_features': 'log2', 'min_samples_split': 9, 'min_samples_leaf': 2, 'n_estimators': 1000}"
84,17.69158964000235,0.5624766433882055,6.327369064394047,0.3131647708430392,25,7,7,515,"{'bootstrap': True, 'max_depth': 25, 'max_features': 'log2', 'min_samples_split': 7, 'min_samples_leaf': 7, 'n_estimators': 515}"
85,67.87339530200188,0.5940800044137691,5.696874018274675,0.2807900899143144,23,8,3,806,"{'bootstrap': True, 'max_depth': 23, 'max_features': 'auto', 'min_samples_split': 8, 'min_samples_leaf': 3, 'n_estimators': 806}"
86,50.35922065200066,0.5666867383051589,6.006675562637133,0.2965548492592998,29,5,10,670,"{'bootstrap': True, 'max_depth': 29, 'max_features': 'auto', 'min_samples_split': 5, 'min_samples_leaf': 10, 'n_estimators': 670}"
87,23.032924759001617,0.4221301245326431,6.301693856634325,0.31249694284436735,47,7,2,146,"{'bootstrap': False, 'max_depth': 47, 'max_features': 'auto', 'min_samples_split': 7, 'min_samples_leaf': 2, 'n_estimators': 146}"
88,59.971397777000675,0.4223381734170843,6.301408028891844,0.3123592207215855,63,7,2,437,"{'bootstrap': False, 'max_depth': 63, 'max_features': 'auto', 'min_samples_split': 7, 'min_samples_leaf': 2, 'n_estimators': 437}"
89,6.6127527999997255,0.5832438466147488,6.068020726217029,0.3001408995543535,89,6,4,127,"{'bootstrap': True, 'max_depth': 89, 'max_features': 'log2', 'min_samples_split': 6, 'min_samples_leaf': 4, 'n_estimators': 127}"
90,33.336741573002655,0.6139755384746911,5.577868800366145,0.2758048101955236,81,6,2,806,"{'bootstrap': False, 'max_depth': 81, 'max_features': 'log2', 'min_samples_split': 6, 'min_samples_leaf': 2, 'n_estimators': 806}"
91,10.741120761002094,0.6080991451260833,5.7002894591546225,0.28153650137166597,39,7,3,166,"{'bootstrap': False, 'max_depth': 39, 'max_features': 'log2', 'min_samples_split': 7, 'min_samples_leaf': 3, 'n_estimators': 166}"
92,105.60707887100216,0.4426506724076236,6.235054960324012,0.3088262264592653,59,6,6,903,"{'bootstrap': False, 'max_depth': 59, 'max_features': 'auto', 'min_samples_split': 6, 'min_samples_leaf': 6, 'n_estimators': 903}"
93,14.532897938999668,0.40722883240682617,7.671017093916257,0.3804180214366744,7,3,5,612,"{'bootstrap': True, 'max_depth': 7, 'max_features': 'log2', 'min_samples_split': 3, 'min_samples_leaf': 5, 'n_estimators': 612}"
94,4.746719733000646,0.5468111457221149,6.458017909612705,0.32019815938049184,59,7,9,69,"{'bootstrap': True, 'max_depth': 59, 'max_features': 'log2', 'min_samples_split': 7, 'min_samples_leaf': 9, 'n_estimators': 69}"
95,11.231451073999779,0.48773989266250883,6.81382142457114,0.3367089890026559,9,5,5,146,"{'bootstrap': True, 'max_depth': 9, 'max_features': 'auto', 'min_samples_split': 5, 'min_samples_leaf': 5, 'n_estimators': 146}"
96,33.11217412299811,0.44259703477136564,6.411896011245718,0.3174654065944616,15,7,5,302,"{'bootstrap': False, 'max_depth': 15, 'max_features': 'auto', 'min_samples_split': 7, 'min_samples_leaf': 5, 'n_estimators': 302}"
97,18.725510379998013,0.5804562466720447,6.138072809843554,0.30312274230341163,17,7,2,631,"{'bootstrap': True, 'max_depth': 17, 'max_features': 'log2', 'min_samples_split': 7, 'min_samples_leaf': 2, 'n_estimators': 631}"
98,43.01853183699859,0.5928022357394411,5.711890442961048,0.2811641883608899,31,9,3,495,"{'bootstrap': True, 'max_depth': 31, 'max_features': 'auto', 'min_samples_split': 9, 'min_samples_leaf': 3, 'n_estimators': 495}"
99,36.8255046910017,0.5921744202239922,5.719709402304302,0.2816706804831429,47,8,4,418,"{'bootstrap': True, 'max_depth': 47, 'max_features': 'auto', 'min_samples_split': 8, 'min_samples_leaf': 4, 'n_estimators': 418}"
100,38.524306613999215,0.5987627795110574,5.622304089379038,0.2764198562820715,97,3,2,398,"{'bootstrap': True, 'max_depth': 97, 'max_features': 'auto', 'min_samples_split': 3, 'min_samples_leaf': 2, 'n_estimators': 398}"
