iteration,runtime,r2_score,mape_score,mae_score,max_depth,min_samples_split,min_samples_leaf,n_estimators,hyperparameters
74,83.21200567399865,0.39513309342160474,6.617772926660382,0.32747483311554054,77,8,8,651,"{'bootstrap': False, 'max_depth': 77, 'max_features': 'auto', 'min_samples_split': 8, 'min_samples_leaf': 8, 'n_estimators': 651}"
75,27.55797996200272,0.37910548583747367,6.623727180072038,0.32846862464995696,43,8,3,166,"{'bootstrap': False, 'max_depth': 43, 'max_features': 'auto', 'min_samples_split': 8, 'min_samples_leaf': 3, 'n_estimators': 166}"
76,16.2029360000015,0.5674057145507089,6.213298492330646,0.3069209704950045,23,2,3,437,"{'bootstrap': True, 'max_depth': 23, 'max_features': 'log2', 'min_samples_split': 2, 'min_samples_leaf': 3, 'n_estimators': 437}"
77,79.11993276499925,0.5441864896544042,6.217097443817871,0.3071717322267374,91,4,8,961,"{'bootstrap': True, 'max_depth': 91, 'max_features': 'auto', 'min_samples_split': 4, 'min_samples_leaf': 8, 'n_estimators': 961}"
78,17.423268344999087,0.5535484426260422,6.403994016285182,0.31711273955597796,93,7,5,515,"{'bootstrap': True, 'max_depth': 93, 'max_features': 'log2', 'min_samples_split': 7, 'min_samples_leaf': 5, 'n_estimators': 515}"
79,20.034453669999493,0.5674961457723275,6.206925677436695,0.30731191026076504,61,8,6,495,"{'bootstrap': False, 'max_depth': 61, 'max_features': 'log2', 'min_samples_split': 8, 'min_samples_leaf': 6, 'n_estimators': 495}"
80,35.24948006200066,0.4658795205127949,7.082629756478761,0.3497590635663471,9,3,6,592,"{'bootstrap': True, 'max_depth': 9, 'max_features': 'auto', 'min_samples_split': 3, 'min_samples_leaf': 6, 'n_estimators': 592}"
81,32.03639288499835,0.3835592946339664,6.5673466951511825,0.3258238939177104,37,7,4,205,"{'bootstrap': False, 'max_depth': 37, 'max_features': 'auto', 'min_samples_split': 7, 'min_samples_leaf': 4, 'n_estimators': 205}"
82,13.81621721600095,0.5665939388937264,6.204756021561579,0.30742342007276313,93,10,6,321,"{'bootstrap': False, 'max_depth': 93, 'max_features': 'log2', 'min_samples_split': 10, 'min_samples_leaf': 6, 'n_estimators': 321}"
83,52.93162499100072,0.3951139788092413,6.618204332904996,0.32749439227729465,61,8,8,398,"{'bootstrap': False, 'max_depth': 61, 'max_features': 'auto', 'min_samples_split': 8, 'min_samples_leaf': 8, 'n_estimators': 398}"
84,28.79572448899853,0.5781591106556465,6.035911299415204,0.29819719894462365,39,5,2,747,"{'bootstrap': True, 'max_depth': 39, 'max_features': 'log2', 'min_samples_split': 5, 'min_samples_leaf': 2, 'n_estimators': 747}"
85,117.0634996910012,0.3951379881095266,6.6179401075280975,0.3274915528090344,81,4,8,941,"{'bootstrap': False, 'max_depth': 81, 'max_features': 'auto', 'min_samples_split': 4, 'min_samples_leaf': 8, 'n_estimators': 941}"
86,91.09636759600107,0.39431139116217917,6.592523362320355,0.3263931294978948,51,11,7,709,"{'bootstrap': False, 'max_depth': 51, 'max_features': 'auto', 'min_samples_split': 11, 'min_samples_leaf': 7, 'n_estimators': 709}"
87,4.288532096998097,0.5403353581498938,6.53034682076638,0.32383452593762285,21,2,10,50,"{'bootstrap': False, 'max_depth': 21, 'max_features': 'log2', 'min_samples_split': 2, 'min_samples_leaf': 10, 'n_estimators': 50}"
